title,year,rating,description,genre,runtime_in_min
Shutter Island,2010,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Mystery, Thriller",138.0
No Country for Old Men,2007,8.2,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Crime, Drama, Thriller",122.0
The Breakfast Club,1985,7.8,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,"Comedy, Drama",97.0
Hidden Figures,2016,7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,"Biography, Drama, History",127.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Action, Adventure, Fantasy",143.0
Superbad,2007,7.6,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Comedy,113.0
Stand by Me,1986,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Adventure, Drama",89.0
Apocalypse Now,1979,8.5,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama, Mystery, War",147.0
The Princess Bride,1987,8.0,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Adventure, Comedy, Family",98.0
Green Book,2018,8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography, Comedy, Drama",130.0
Little Women,2019,7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.","Drama, Romance",135.0
The Big Short,2015,7.8,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.","Biography, Comedy, Drama",130.0
There Will Be Blood,2007,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,158.0
Zack Snyder's Justice League,2021,8.0,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.","Action, Adventure, Fantasy",242.0
A Clockwork Orange,1971,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Crime, Sci-Fi",136.0
The Martian,2015,8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.","Adventure, Drama, Sci-Fi",144.0
